UserId,Date,DateTimeIn,DateTimeOut
38,29-Sep-20,10:00 AM,6:47 PM
41,29-Sep-20,10:00 AM,6:47 PM
30,29-Sep-20,10:15 AM,7:00 PM
40,29-Sep-20,10:00 AM,7:00 PM
29,29-Sep-20,10:30 AM,7:00 PM
39,29-Sep-20,10:45 AM,9:00 PM
33,30-Sep-20,9:55 AM,7:00 PM
35,30-Sep-20,9:55 AM,7:00 PM
38,30-Sep-20,11:00 AM,7:00 PM
41,30-Sep-20,11:00 AM,6:55 PM
30,30-Sep-20,10:26 AM,7:05 PM
40,30-Sep-20,10:07 AM,7:00 PM
39,30-Sep-20,10:45 AM,8:15 PM
